NEWID,WMLE
10210475 ,-5.71
10210476 ,-5.71
10210477 ,-5.71
10220478 ,-2.41
10220479 ,-2.41
10220480 ,-2.41
10220481 ,-2.41
10220482 ,-2.41
10220483 ,-2.41
10220484 ,-2.41
10220485 ,-2.41
10220486 ,-2.41
10220487 ,-2.41
10220488 ,-2.41
10220489 ,-2.41
10220490 ,-2.41
10220491 ,-2.41
10220492 ,-2.41
10220493 ,-2.41
10220494 ,-2.41
10220495 ,-2.41
10220496 ,-2.41
10220497 ,-2.41
10220498 ,-2.41
10220499 ,-2.41
10220500 ,-2.41
10220501 ,-2.41
10220502 ,-2.41
10220503 ,-2.41
10220504 ,-2.41
10220505 ,-2.41
10220506 ,-2.41
10220507 ,-2.41
10220508 ,-2.41
10220509 ,-2.41
10220510 ,-2.41
10230511 ,0.52
10230512 ,0.52
10240513 ,-0.52
10240514 ,-0.52
10240515 ,-0.52
10240516 ,-0.52
10240517 ,-0.52
10240518 ,-0.52
10240519 ,-0.52
10240520 ,-0.52
10240521 ,-0.52
10240522 ,-0.52
10240523 ,-0.52
10240524 ,-0.52
10240525 ,-0.52
10240526 ,-0.52
10240527 ,-0.52
10240528 ,-0.52
10240529 ,-0.52
10240530 ,-0.52
10240531 ,-0.52
10240532 ,-0.52
10240533 ,-0.52
10240534 ,-0.52
10240535 ,-0.52
10240536 ,-0.52
10240537 ,-0.52
10240538 ,-0.52
10240539 ,-0.52
10240540 ,-0.52
10240541 ,-0.52
10240542 ,-0.52
10240543 ,-0.52
10240544 ,-0.52
10240545 ,-0.52
10240546 ,-0.52
10260563 ,1.6
10260564 ,1.6
10260565 ,1.6
10260566 ,1.6
10260567 ,1.6
10260568 ,1.6
10260569 ,1.6
10260570 ,1.6
10260571 ,1.6
10260572 ,1.6
10260573 ,1.6
10260574 ,1.6
10260575 ,1.6
10260576 ,1.6
10260577 ,1.6
10260578 ,1.6
10260579 ,1.6
10260580 ,1.6
10260581 ,1.6
10260582 ,1.6
10260583 ,1.6
10260584 ,1.6
10260585 ,1.6
10260586 ,1.6
10260587 ,1.6
10260588 ,1.6
10260589 ,1.6
10260590 ,1.6
10260591 ,1.6
10260592 ,1.6
10260593 ,1.6
10270594 ,-1.23
10270595 ,-1.23
10270596 ,-1.23
10270597 ,-1.23
10270598 ,-1.23
10270599 ,-1.23
10270600 ,-1.23
